tdepth,tpdensity
21.448,7.317
22.989,7.2481
90.177,4.6378
32.428,6.4131
25.759,6.8397
37.004,6.1825
43.537,5.9399
46.349,5.6974
36.615,6.262
37.602,6.0194
43.035,5.7769
19.47,7.5864
32.927,6.4071
35.956,6.1645
34.457,6.3255
37.103,6.083
34.857,6.244
32.864,6.405
38.031,6.1625
74.578,4.9378
22.096,7.2917
90.049,4.6814
28.459,6.6317
28.095,6.7927
40.063,5.9716
55.134,5.3255
28.019,6.6972
22.843,7.2718
39.908,6.1306
44.668,5.8881
61.161,5.2419
24.739,7.0173
80.784,4.8105
96.288,4.5679
26.367,6.9218
85.706,4.715
22.353,7.204
21.04,7.3234
23.288,7.0739
39.194,5.9496
22.735,7.3214
85.331,4.711
23.903,7.0193
22.163,7.2071
34.437,6.3094
30.984,6.4704
83.131,4.6672
28.179,6.7718
92.947,4.5578
38.127,6.1046
25.877,6.8421
65.128,5.1343
23.448,7.0846
47.222,5.685
35.581,6.2496
41.113,6.0071
23.995,7.1636
20.394,7.2834
19.555,7.4981
54.758,5.4663
59.854,5.2237
69.854,4.9812
81.935,4.7386
25.039,6.9031
33.058,6.3648
43,5.7187
81.261,4.669
13.211,8.4617
66.909,5.1918
45.15,5.7565
52.66,5.5139
47.302,5.6749
73.296,5.0288
23.242,7.08
74.286,4.9731
63.274,5.1341
20.209,7.488
41.413,5.9134
60.269,5.2673
89.304,4.6212
62.875,5.1858
72.788,4.9432
83.7,4.7007
19.553,7.4581
45.559,5.8299
21.405,7.4257
76.83,4.7523
75.078,4.9134
65.688,5.0744
61.719,5.2354
37.054,6.2036
39.164,5.961
57.655,5.3149
68.337,5.0724
62.575,5.2334
56.944,5.3944
47.352,5.5554
59.113,5.3129
29.762,6.6847
26.762,6.8457
